technique,mft_profile,immediate_compliance,retaliation_probability,insula_activation
expert_testimony,sanctity_dominant,0.4821,0.0,0.0
false_dilemma,authority_dominant,0.4836,0.0611,0.15
false_dilemma,balanced_mft,0.4836,0.0611,0.15
false_dilemma,care_dominant,0.4836,0.0611,0.15
false_dilemma,conservative_mft,0.4849,0.0623,0.15
false_dilemma,fairness_dominant,0.4836,0.0611,0.15
false_dilemma,high_moral,0.4928,0.0749,0.15
false_dilemma,inverted,0.4846,0.062,0.15
false_dilemma,liberal_mft,0.4917,0.0729,0.15
false_dilemma,liberty_dominant,0.4917,0.0729,0.15
false_dilemma,low_moral,0.4836,0.0611,0.15
false_dilemma,loyalty_dominant,0.4836,0.0611,0.15
false_dilemma,sanctity_dominant,0.4846,0.062,0.15
false_equivalence,authority_dominant,0.4888,0.0,0.1
false_equivalence,balanced_mft,0.4888,0.0,0.1
false_equivalence,care_dominant,0.4888,0.0,0.1
false_equivalence,conservative_mft,0.5023,0.0,0.1
false_equivalence,fairness_dominant,0.4888,0.0,0.1
false_equivalence,high_moral,0.5021,0.0,0.1
false_equivalence,inverted,0.5021,0.0,0.1
false_equivalence,liberal_mft,0.4888,0.0,0.1
false_equivalence,liberty_dominant,0.4888,0.0,0.1
false_equivalence,low_moral,0.4888,0.0,0.1
false_equivalence,loyalty_dominant,0.5014,0.0,0.1
false_equivalence,sanctity_dominant,0.4895,0.0,0.1
false_scarcity,authority_dominant,0.4808,0.0145,0.3
false_scarcity,balanced_mft,0.4808,0.0145,0.3
false_scarcity,care_dominant,0.4808,0.0145,0.3
false_scarcity,conservative_mft,0.4832,0.0182,0.3
false_scarcity,fairness_dominant,0.4808,0.0145,0.3
false_scarcity,high_moral,0.5077,0.0799,0.3
false_scarcity,inverted,0.4826,0.0169,0.3
false_scarcity,liberal_mft,0.5049,0.0707,0.3
false_scarcity,liberty_dominant,0.5049,0.0707,0.3
false_scarcity,low_moral,0.4808,0.0145,0.3
false_scarcity,loyalty_dominant,0.4808,0.0145,0.3
false_scarcity,sanctity_dominant,0.4826,0.0169,0.3
false_urgency,authority_dominant,0.4888,0.049,0.2
false_urgency,balanced_mft,0.4888,0.049,0.2
false_urgency,care_dominant,0.4888,0.049,0.2
false_urgency,conservative_mft,0.4905,0.0512,0.2
false_urgency,fairness_dominant,0.4888,0.049,0.2
false_urgency,high_moral,0.5142,0.1045,0.2
false_urgency,inverted,0.4901,0.0506,0.2
false_urgency,liberal_mft,0.5124,0.1016,0.2
false_urgency,liberty_dominant,0.5124,0.1016,0.2
false_urgency,low_moral,0.4888,0.049,0.2
false_urgency,loyalty_dominant,0.4888,0.049,0.2
false_urgency,sanctity_dominant,0.4901,0.0506,0.2
fear_mongering,authority_dominant,0.4793,0.0827,0.2
fear_mongering,balanced_mft,0.4793,0.0827,0.2
fear_mongering,care_dominant,0.4793,0.0827,0.2
fear_mongering,conservative_mft,0.4813,0.086,0.2
fear_mongering,fairness_dominant,0.4793,0.0827,0.2
fear_mongering,high_moral,0.4808,0.0851,0.2
fear_mongering,inverted,0.4808,0.0851,0.2
fear_mongering,liberal_mft,0.4793,0.0827,0.2
fear_mongering,liberty_dominant,0.4793,0.0827,0.2
fear_mongering,low_moral,0.4793,0.0827,0.2
fear_mongering,loyalty_dominant,0.4793,0.0827,0.2
fear_mongering,sanctity_dominant,0.4808,0.0851,0.2
gain_frame,authority_dominant,0.5412,0.0,0.0
gain_frame,balanced_mft,0.5412,0.0,0.0
gain_frame,care_dominant,0.5412,0.0,0.0
gain_frame,conservative_mft,0.5412,0.0,0.0
gain_frame,fairness_dominant,0.5412,0.0,0.0
gain_frame,high_moral,0.5433,0.0012,0.0
gain_frame,inverted,0.5412,0.0,0.0
gain_frame,liberal_mft,0.5433,0.0012,0.0
gain_frame,liberty_dominant,0.5433,0.0012,0.0
gain_frame,low_moral,0.5412,0.0,0.0
gain_frame,loyalty_dominant,0.5412,0.0,0.0
gain_frame,sanctity_dominant,0.5412,0.0,0.0
gaslighting,authority_dominant,0.5228,0.0496,0.3
gaslighting,balanced_mft,0.5228,0.0496,0.3
gaslighting,care_dominant,0.5228,0.0496,0.3
gaslighting,conservative_mft,0.5254,0.0574,0.3
gaslighting,fairness_dominant,0.5228,0.0496,0.3
gaslighting,high_moral,0.5329,0.0781,0.3
gaslighting,inverted,0.5247,0.0554,0.3
gaslighting,liberal_mft,0.5307,0.0712,0.3
gaslighting,liberty_dominant,0.5307,0.0712,0.3
gaslighting,low_moral,0.5228,0.0496,0.3
gaslighting,loyalty_dominant,0.5228,0.0496,0.3
gaslighting,sanctity_dominant,0.5247,0.0554,0.3
guilt_tripping,authority_dominant,0.5198,0.0314,0.15
guilt_tripping,balanced_mft,0.5198,0.0314,0.15
guilt_tripping,care_dominant,0.5587,0.0314,0.15
guilt_tripping,conservative_mft,0.5212,0.0345,0.15
guilt_tripping,fairness_dominant,0.5198,0.0314,0.15
guilt_tripping,high_moral,0.5676,0.0526,0.15
guilt_tripping,inverted,0.5208,0.0337,0.15
guilt_tripping,liberal_mft,0.5665,0.0498,0.15
guilt_tripping,liberty_dominant,0.5279,0.0498,0.15
guilt_tripping,low_moral,0.5198,0.0314,0.15
guilt_tripping,loyalty_dominant,0.5198,0.0314,0.15
guilt_tripping,sanctity_dominant,0.5208,0.0337,0.15
logical_appeal,authority_dominant,0.4824,0.0,0.0
logical_appeal,balanced_mft,0.4824,0.0,0.0
logical_appeal,care_dominant,0.4824,0.0,0.0
logical_appeal,conservative_mft,0.4824,0.0,0.0
logical_appeal,fairness_dominant,0.4824,0.0,0.0
logical_appeal,high_moral,0.4824,0.0,0.0
logical_appeal,inverted,0.4824,0.0,0.0
logical_appeal,liberal_mft,0.4824,0.0,0.0
logical_appeal,liberty_dominant,0.4824,0.0,0.0
logical_appeal,low_moral,0.4824,0.0,0.0
logical_appeal,loyalty_dominant,0.4824,0.0,0.0
logical_appeal,sanctity_dominant,0.4824,0.0,0.0
loss_frame,authority_dominant,0.5023,0.0325,0.0
loss_frame,balanced_mft,0.5023,0.0325,0.0
loss_frame,care_dominant,0.5023,0.0325,0.0
loss_frame,conservative_mft,0.5023,0.0325,0.0
loss_frame,fairness_dominant,0.5023,0.0325,0.0
loss_frame,high_moral,0.5027,0.0325,0.0
loss_frame,inverted,0.5023,0.0325,0.0
loss_frame,liberal_mft,0.5027,0.0325,0.0
loss_frame,liberty_dominant,0.5027,0.0325,0.0
loss_frame,low_moral,0.5023,0.0325,0.0
loss_frame,loyalty_dominant,0.5023,0.0325,0.0
loss_frame,sanctity_dominant,0.5023,0.0325,0.0
manipulative_flattery,authority_dominant,0.5378,0.0,0.05
manipulative_flattery,balanced_mft,0.5378,0.0,0.05
manipulative_flattery,care_dominant,0.5378,0.0,0.05
manipulative_flattery,conservative_mft,0.5382,0.0,0.05
manipulative_flattery,fairness_dominant,0.5378,0.0,0.05
manipulative_flattery,high_moral,0.5381,0.0,0.05
manipulative_flattery,inverted,0.5381,0.0,0.05
manipulative_flattery,liberal_mft,0.5378,0.0,0.05
manipulative_flattery,liberty_dominant,0.5378,0.0,0.05
manipulative_flattery,low_moral,0.5378,0.0,0.05
manipulative_flattery,loyalty_dominant,0.5378,0.0,0.05
manipulative_flattery,sanctity_dominant,0.5381,0.0,0.05
name_calling,authority_dominant,0.4768,0.019,0.0667
name_calling,balanced_mft,0.4768,0.019,0.0667
name_calling,care_dominant,0.4768,0.019,0.0667
name_calling,conservative_mft,0.4774,0.0203,0.0667
name_calling,fairness_dominant,0.4768,0.019,0.0667
name_calling,high_moral,0.4772,0.02,0.0667
name_calling,inverted,0.4772,0.02,0.0667
name_calling,liberal_mft,0.4768,0.019,0.0667
name_calling,liberty_dominant,0.4768,0.019,0.0667
name_calling,low_moral,0.4768,0.019,0.0667
name_calling,loyalty_dominant,0.4768,0.019,0.0667
name_calling,sanctity_dominant,0.4772,0.02,0.0667
obfuscation,authority_dominant,0.4858,0.0,0.15
obfuscation,balanced_mft,0.4858,0.0,0.15
obfuscation,care_dominant,0.4858,0.0,0.15
obfuscation,conservative_mft,0.4871,0.0,0.15
obfuscation,fairness_dominant,0.4858,0.0,0.15
obfuscation,high_moral,0.4868,0.0,0.15
obfuscation,inverted,0.4868,0.0,0.15
obfuscation,liberal_mft,0.4858,0.0,0.15
obfuscation,liberty_dominant,0.4858,0.0,0.15
obfuscation,low_moral,0.4858,0.0,0.15
obfuscation,loyalty_dominant,0.4858,0.0,0.15
obfuscation,sanctity_dominant,0.4868,0.0,0.15
perspective_shifting,authority_dominant,0.4982,0.0,0.0
perspective_shifting,balanced_mft,0.4982,0.0,0.0
perspective_shifting,care_dominant,0.4982,0.0,0.0
perspective_shifting,conservative_mft,0.4982,0.0,0.0
perspective_shifting,fairness_dominant,0.4982,0.0,0.0
perspective_shifting,high_moral,0.4982,0.0,0.0
perspective_shifting,inverted,0.4982,0.0,0.0
perspective_shifting,liberal_mft,0.4982,0.0,0.0
perspective_shifting,liberty_dominant,0.4982,0.0,0.0
perspective_shifting,low_moral,0.4982,0.0,0.0
perspective_shifting,loyalty_dominant,0.4982,0.0,0.0
perspective_shifting,sanctity_dominant,0.4982,0.0,0.0
reciprocity,authority_dominant,0.5384,0.0,0.0
reciprocity,balanced_mft,0.5384,0.0,0.0
reciprocity,care_dominant,0.5384,0.0,0.0
reciprocity,conservative_mft,0.5384,0.0,0.0
reciprocity,fairness_dominant,0.5384,0.0,0.0
reciprocity,high_moral,0.5384,0.0,0.0
reciprocity,inverted,0.5384,0.0,0.0
reciprocity,liberal_mft,0.5384,0.0,0.0
reciprocity,liberty_dominant,0.5384,0.0,0.0
reciprocity,low_moral,0.5384,0.0,0.0
reciprocity,loyalty_dominant,0.5384,0.0,0.0
reciprocity,sanctity_dominant,0.5384,0.0,0.0
red_herring,authority_dominant,0.4348,0.083,0.1333
red_herring,balanced_mft,0.4348,0.083,0.1333
red_herring,care_dominant,0.4348,0.083,0.1333
red_herring,conservative_mft,0.436,0.0846,0.1333
red_herring,fairness_dominant,0.4348,0.083,0.1333
red_herring,high_moral,0.4357,0.0842,0.1333
red_herring,inverted,0.4357,0.0842,0.1333
red_herring,liberal_mft,0.4348,0.083,0.1333
red_herring,liberty_dominant,0.4348,0.083,0.1333
red_herring,low_moral,0.4348,0.083,0.1333
red_herring,loyalty_dominant,0.4348,0.083,0.1333
red_herring,sanctity_dominant,0.4357,0.0842,0.1333
rhetorical_question,authority_dominant,0.4358,0.0,0.0
rhetorical_question,balanced_mft,0.4358,0.0,0.0
rhetorical_question,care_dominant,0.4358,0.0,0.0
rhetorical_question,conservative_mft,0.4358,0.0,0.0
rhetorical_question,fairness_dominant,0.4358,0.0,0.0
rhetorical_question,high_moral,0.4358,0.0,0.0
rhetorical_question,inverted,0.4358,0.0,0.0
rhetorical_question,liberal_mft,0.4358,0.0,0.0
rhetorical_question,liberty_dominant,0.4358,0.0,0.0
rhetorical_question,low_moral,0.4358,0.0,0.0
rhetorical_question,loyalty_dominant,0.4358,0.0,0.0
rhetorical_question,sanctity_dominant,0.4358,0.0,0.0
scarcity_appeal,authority_dominant,0.4776,0.0,0.0
scarcity_appeal,balanced_mft,0.4776,0.0,0.0
scarcity_appeal,care_dominant,0.4776,0.0,0.0
scarcity_appeal,conservative_mft,0.4776,0.0,0.0
scarcity_appeal,fairness_dominant,0.4776,0.0,0.0
scarcity_appeal,high_moral,0.4776,0.0,0.0
scarcity_appeal,inverted,0.4776,0.0,0.0
scarcity_appeal,liberal_mft,0.4776,0.0,0.0
scarcity_appeal,liberty_dominant,0.4776,0.0,0.0
scarcity_appeal,low_moral,0.4776,0.0,0.0
scarcity_appeal,loyalty_dominant,0.4776,0.0,0.0
scarcity_appeal,sanctity_dominant,0.4776,0.0,0.0
self_disclosure,authority_dominant,0.5311,0.0,0.0
self_disclosure,balanced_mft,0.5311,0.0,0.0
self_disclosure,care_dominant,0.5311,0.0,0.0
self_disclosure,conservative_mft,0.5311,0.0,0.0
self_disclosure,fairness_dominant,0.5311,0.0,0.0
self_disclosure,high_moral,0.5311,0.0,0.0
self_disclosure,inverted,0.5311,0.0,0.0
self_disclosure,liberal_mft,0.5311,0.0,0.0
self_disclosure,liberty_dominant,0.5311,0.0,0.0
self_disclosure,low_moral,0.5311,0.0,0.0
self_disclosure,loyalty_dominant,0.5311,0.0,0.0
self_disclosure,sanctity_dominant,0.5311,0.0,0.0
slippery_slope,authority_dominant,0.4999,0.069,0.2667
slippery_slope,balanced_mft,0.4999,0.069,0.2667
slippery_slope,care_dominant,0.4999,0.069,0.2667
slippery_slope,conservative_mft,0.5026,0.0728,0.2667
slippery_slope,fairness_dominant,0.4999,0.069,0.2667
slippery_slope,high_moral,0.5019,0.0718,0.2667
slippery_slope,inverted,0.5019,0.0718,0.2667
slippery_slope,liberal_mft,0.4999,0.069,0.2667
slippery_slope,liberty_dominant,0.4999,0.069,0.2667
slippery_slope,low_moral,0.4999,0.069,0.2667
slippery_slope,loyalty_dominant,0.4999,0.069,0.2667
slippery_slope,sanctity_dominant,0.5019,0.0718,0.2667
social_proof,authority_dominant,0.4879,0.0,0.0
social_proof,balanced_mft,0.4879,0.0,0.0
social_proof,care_dominant,0.4879,0.0,0.0
social_proof,conservative_mft,0.5268,0.0,0.0
social_proof,fairness_dominant,0.4879,0.0,0.0
social_proof,high_moral,0.5268,0.0,0.0
social_proof,inverted,0.5268,0.0,0.0
social_proof,liberal_mft,0.4879,0.0,0.0
social_proof,liberty_dominant,0.4879,0.0,0.0
social_proof,low_moral,0.4879,0.0,0.0
social_proof,loyalty_dominant,0.5268,0.0,0.0
social_proof,sanctity_dominant,0.4879,0.0,0.0
storytelling,authority_dominant,0.5298,0.0,0.0
storytelling,balanced_mft,0.5298,0.0,0.0
storytelling,care_dominant,0.5917,0.0,0.0
storytelling,conservative_mft,0.5298,0.0,0.0
storytelling,fairness_dominant,0.5298,0.0,0.0
storytelling,high_moral,0.5917,0.0,0.0
storytelling,inverted,0.5298,0.0,0.0
storytelling,liberal_mft,0.6435,0.0,0.0
storytelling,liberty_dominant,0.5298,0.0,0.0
storytelling,low_moral,0.5298,0.0,0.0
storytelling,loyalty_dominant,0.5298,0.0,0.0
storytelling,sanctity_dominant,0.5298,0.0,0.0
straw_man,authority_dominant,0.5434,0.0,0.15
straw_man,balanced_mft,0.5434,0.0,0.15
straw_man,care_dominant,0.5434,0.0,0.15
straw_man,conservative_mft,0.5447,0.0,0.15
straw_man,fairness_dominant,0.5434,0.0,0.15
straw_man,high_moral,0.5444,0.0,0.15
straw_man,inverted,0.5444,0.0,0.15
straw_man,liberal_mft,0.5491,0.0,0.15
straw_man,liberty_dominant,0.5434,0.0,0.15
straw_man,low_moral,0.5434,0.0,0.15
straw_man,loyalty_dominant,0.5434,0.0,0.15
straw_man,sanctity_dominant,0.5444,0.0,0.15
urgency_appeal,authority_dominant,0.4612,0.0983,0.0
urgency_appeal,balanced_mft,0.4612,0.0983,0.0
urgency_appeal,care_dominant,0.4612,0.0983,0.0
urgency_appeal,conservative_mft,0.4612,0.0983,0.0
urgency_appeal,fairness_dominant,0.4612,0.0983,0.0
urgency_appeal,high_moral,0.4645,0.114,0.0
urgency_appeal,inverted,0.4612,0.0983,0.0
urgency_appeal,liberal_mft,0.4645,0.114,0.0
urgency_appeal,liberty_dominant,0.4645,0.114,0.0
urgency_appeal,low_moral,0.4612,0.0983,0.0
urgency_appeal,loyalty_dominant,0.4612,0.0983,0.0
urgency_appeal,sanctity_dominant,0.4612,0.0983,0.0
whataboutism,authority_dominant,0.4672,0.0385,0.1333
whataboutism,balanced_mft,0.4672,0.0385,0.1333
whataboutism,care_dominant,0.4672,0.0385,0.1333
whataboutism,conservative_mft,0.4683,0.039,0.1333
whataboutism,fairness_dominant,0.4672,0.0385,0.1333
whataboutism,high_moral,0.468,0.0389,0.1333
whataboutism,inverted,0.468,0.0389,0.1333
whataboutism,liberal_mft,0.4672,0.0385,0.1333
whataboutism,liberty_dominant,0.4672,0.0385,0.1333
whataboutism,low_moral,0.4672,0.0385,0.1333
whataboutism,loyalty_dominant,0.4672,0.0385,0.1333
whataboutism,sanctity_dominant,0.468,0.0389,0.1333
